,?????????,??????????,???,??????,PF/REIT,???????
2007,31.37%,7.63%,19.18%,45.76%,,2.30%
2008,-45.10%,18.78%,5.46%,-58.35%,,1.80%
2009,71.35%,-4.18%,32.41%,96.94%,,0.76%
2010,47.80%,5.76%,10.75%,20.09%,23.65%,1.49%
2011,3.69%,5.61%,25.13%,15.11%,7.19%,2.74%
2012,40.53%,3.30%,-1.41%,2.79%,39.13%,2.41%
2013,-3.63%,2.14%,-22.26%,0.88%,9.78%,2.21%
2014,19.12%,9.37%,-1.56%,-48.62%,6.27%,1.73%
2015,-11.23%,5.09%,-2.78%,-36.28%,11.29%,1.39%
2016,23.85%,1.61%,7.19%,53.65%,19.69%,1.37%
Avg,12.88%,5.36%,6.13%,-0.84%,16.23%,2.02%
